#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: ships-1.png (1760 x 492)
# $TexturePacker:SmartUpdate:fb5bfa8cdc74c8c4a1ca44dc8467f57f:ab0ee56dc8d68e44be321bb02e09ba42:70337640c72888bf42bfb210bfa91be8$
#

1;0;745;339;124;135;124;135;0.5;0.5
10;0;921;357;116;110;116;110;0.5;0.5
10B;0;1039;357;116;110;116;110;0.5;0.5
11;0;1;1;398;225;398;225;0.5;0.5
12;0;1;228;342;122;342;122;0.5;0.5
12B;0;401;1;342;122;342;122;0.5;0.5
13;0;155;352;168;104;168;104;0.5;0.5
13B;0;977;251;168;104;168;104;0.5;0.5
1B;0;1529;254;124;135;124;135;0.5;0.5
2;0;487;229;134;199;134;199;0.5;0.5
2B;0;1161;235;134;199;134;199;0.5;0.5
3;0;977;1;182;248;182;248;0.5;0.5
4;0;623;229;120;185;120;185;0.5;0.5
4B;0;1297;235;130;185;130;185;0.5;0.5
5;0;1429;235;98;171;98;171;0.5;0.5
5B;0;1655;254;98;171;98;171;0.5;0.5
6;0;401;125;170;102;170;102;0.5;0.5
6B;0;573;125;170;102;170;102;0.5;0.5
7;0;345;229;140;257;140;257;0.5;0.5
8;0;1161;1;182;232;182;232;0.5;0.5
8B;0;1345;1;182;232;182;232;0.5;0.5
9B;0;745;1;230;336;230;336;0.5;0.5
Mech12;0;487;430;77;60;77;60;0.5;0.5
Mech12_arm_l;0;325;352;18;36;18;36;0.5;0.5
Mech12_arm_r;0;325;390;18;36;18;36;0.5;0.5
Mech12_head;0;325;428;17;28;17;28;0.5;0.5
Mech12_leg_l;0;1745;1;14;38;14;38;0.5;0.5
Mech12_leg_r;0;1745;1;14;38;14;38;0.5;0.5
Mech12_shoulder;0;566;430;77;57;77;57;0.5;0.5
Mech12_torso;0;645;416;65;47;65;47;0.5;0.5
Mech5;0;1;352;152;124;152;124;0.5;0.5
Mech5_arm_l;0;1695;1;48;124;48;124;0.5;0.5
Mech5_arm_r;0;871;339;48;124;48;124;0.5;0.5
Mech5_foot_l;0;1157;436;33;28;33;28;0.5;0.5
Mech5_foot_r;0;1157;436;33;28;33;28;0.5;0.5
Mech5_head;0;1695;127;44;68;44;68;0.5;0.5
Mech5_leg_l;0;712;416;31;52;31;52;0.5;0.5
Mech5_leg_r;0;712;416;31;52;31;52;0.5;0.5
Mech5_shoulder_l;0;1695;197;22;52;22;52;0.5;0.5
Mech5_shoulder_r;0;1617;391;22;52;22;52;0.5;0.5
Mech5_torso;0;1529;391;86;81;86;81;0.5;0.5
orangeship3;0;1529;1;164;251;164;251;0.5;0.5
